name,password,drummer,leadGuitarist,backUpGuitarist,leadSinger,backUpSinger,bassist,tambourine,cowBellPlayer\
James,password1,false,true,false,false,true,true,false,false,true,4,50,james@bandmail.com
Mark,password2,true,false,false,false,false,false,true,true,true,3,100,mark@bandmail.com
Tom,password3,false,false,false,true,true,false,true,false,false,5,45,tom@bandmail.com
Geri,password4,true,true,true,true,true,true,false,false,false,false,2,25,geri@bandmail.com
Anna,password5,false,true,true,false,false,false,true,false,false,true,4,130,anna@bandmail.com
Jeff,password6,false,false,false,false,false,true,true,false,true,2,100,jeff@bandmail.com
Claire,password7,true,true,true,true,true,true,true,true,true,false,5,49,claire@bandmail.com
Sarah,password8,false,false,false,false,false,false,false,true,false,4,100,sarah@bandmail.com
Mike,password9,false,true,true,true,true,true,true,true,true,4,50,mike@bandmail.com
Frank,password0,true,true,false,false,false,false,true,true,true,3,75,frank@bandmail.com
Kim,passwrd10,false,false,true,false,true,false,true,false,false,4,100,kim@bandmail.com
Lynn,passwrd11,false,false,false,true,false,false,false,false,false,5,200,lynn@bandmail.com
Jared,passwrd12,true,false,false,false,false,false,true,true,false,5,200,jared@bandmail.com
Logan,passwrd13,false,true,true,true,true,true,true,true,false,5,100,logan@bandmail.com
Lana,passwrd14,true,false,true,false,false,false,true,true,false,3,75,lana@bandmail.com
Archer,passwrd15,false,false,false,true,true,false,false,true,false,2,25,archer@bandmail.com
Sharon,passwrd16,false,false,false,false,true,false,true,false,false,3,100,sharon@bandmail.com
Caleb,passwrd17,true,false,true,true,true,false,false,false,false,4,100,caleb@bandmail.com
Jon,passwrd18,false,true,false,false,true,true,false,false,false,2,50,jon@bandmail.com
Will,passwrd19,false,false,false,true,true,false,true,true,false,1,20,will@bandmail.com
